,lat,lng,offense
649,45.5736,-122.692,Larceny Offenses
650,45.5892,-122.755,Larceny Offenses
651,45.5167,-122.503,Larceny Offenses
652,45.5159,-122.677,Larceny Offenses
653,45.5112,-122.686,Larceny Offenses
654,45.5479,-122.667,Larceny Offenses
656,45.4702,-122.694,Larceny Offenses
657,45.5888,-122.701,Larceny Offenses
658,45.4703,-122.572,Larceny Offenses
659,45.4924,-122.579,Larceny Offenses
660,45.5337,-122.657,Larceny Offenses
661,45.4828,-122.589,Larceny Offenses
662,45.5225,-122.673,Larceny Offenses
663,45.5323,-122.681,Larceny Offenses
664,45.5892,-122.755,Larceny Offenses
665,45.5181,-122.675,Larceny Offenses
666,45.5132,-122.685,Larceny Offenses
667,45.5318,-122.652,Larceny Offenses
668,45.5189,-122.569,Larceny Offenses
669,45.554,-122.52,Larceny Offenses
670,45.49,-122.648,Larceny Offenses
671,45.5318,-122.652,Larceny Offenses
672,45.5253,-122.69,Larceny Offenses
673,45.523,-122.681,Larceny Offenses
674,45.5223,-122.659,Larceny Offenses
675,45.5194,-122.664,Larceny Offenses
676,45.4933,-122.637,Larceny Offenses
677,45.5139,-122.676,Larceny Offenses
678,45.5207,-122.69,Larceny Offenses
679,45.5287,-122.638,Larceny Offenses
680,45.5315,-122.657,Larceny Offenses
681,45.5257,-122.691,Larceny Offenses
682,45.5279,-122.686,Larceny Offenses
683,45.5016,-122.61,Larceny Offenses
684,45.4986,-122.633,Larceny Offenses
685,45.5831,-122.733,Larceny Offenses
686,45.5684,-122.685,Larceny Offenses
687,45.53,-122.661,Larceny Offenses
688,45.515,-122.642,Motor Vehicle Theft
689,45.5173,-122.498,Motor Vehicle Theft
690,45.4958,-122.501,Motor Vehicle Theft
691,45.487,-122.736,Motor Vehicle Theft
692,45.5224,-122.538,Motor Vehicle Theft
693,45.5266,-122.567,Motor Vehicle Theft
694,45.5241,-122.677,Motor Vehicle Theft
695,45.5025,-122.518,Motor Vehicle Theft
696,45.5185,-122.677,Robbery
697,45.5201,-122.677,Robbery
698,45.5224,-122.682,Robbery
700,45.5204,-122.539,Vandalism
701,45.5016,-122.656,Vandalism
702,45.5189,-122.569,Vandalism
703,45.5245,-122.673,Vandalism
704,45.4944,-122.531,Vandalism
705,45.5121,-122.627,Vandalism
706,45.5171,-122.632,Vandalism
707,45.5218,-122.674,Drug/Narcotic Offenses
708,45.5218,-122.674,Drug/Narcotic Offenses
709,45.5266,-122.561,Drug/Narcotic Offenses
710,45.5249,-122.674,Drug/Narcotic Offenses
711,45.5206,-122.676,Larceny Offenses
712,45.484,-122.54,Counterfeiting/Forgery
713,45.4575,-122.648,Larceny Offenses
716,45.5279,-122.65,Vandalism
717,45.4873,-122.634,Larceny Offenses
718,45.5206,-122.678,Vandalism
719,45.5204,-122.534,Burglary
721,45.4712,-122.619,Larceny Offenses
722,45.5893,-122.748,Counterfeiting/Forgery
724,45.5182,-122.517,Larceny Offenses
725,45.5772,-122.698,Larceny Offenses
726,45.5164,-122.635,Larceny Offenses
727,45.5168,-122.638,Vandalism
729,45.5265,-122.595,Assault Offenses
730,45.4994,-122.623,Burglary
731,45.4898,-122.612,Burglary
733,45.5588,-122.582,Larceny Offenses
735,45.5297,-122.57,Larceny Offenses
736,45.5939,-122.721,Larceny Offenses
737,45.5879,-122.735,Larceny Offenses
738,45.5185,-122.678,Larceny Offenses
739,45.6041,-122.676,Larceny Offenses
740,45.5161,-122.512,Larceny Offenses
741,45.5896,-122.678,Larceny Offenses
742,45.5323,-122.655,Larceny Offenses
743,45.4435,-122.674,Larceny Offenses
744,45.4676,-122.644,Larceny Offenses
745,45.5807,-122.724,Larceny Offenses
746,45.5843,-122.731,Larceny Offenses
747,45.4698,-122.579,Motor Vehicle Theft
748,45.5057,-122.562,Motor Vehicle Theft
749,45.4763,-122.581,Motor Vehicle Theft
750,45.4915,-122.523,Motor Vehicle Theft
751,45.4817,-122.647,Motor Vehicle Theft
752,45.4634,-122.598,Vandalism
753,45.5225,-122.652,Vandalism
754,45.5279,-122.65,Vandalism
755,45.4671,-122.579,Assault Offenses
756,45.5208,-122.656,Assault Offenses
757,45.5,-122.685,Assault Offenses
758,45.5,-122.685,Assault Offenses
759,45.4781,-122.562,Assault Offenses
762,45.5533,-122.662,Assault Offenses
763,45.5121,-122.645,Assault Offenses
767,45.5303,-122.541,Assault Offenses
768,45.4826,-122.556,Assault Offenses
770,45.5266,-122.613,Assault Offenses
771,45.5234,-122.677,Assault Offenses
773,45.5259,-122.63,Burglary
774,45.4703,-122.553,Burglary
775,45.5723,-122.623,Burglary
776,45.5121,-122.632,Burglary
784,45.5702,-122.684,Larceny Offenses
785,45.5141,-122.674,Larceny Offenses
786,45.4948,-122.58,Larceny Offenses
787,45.5203,-122.689,Larceny Offenses
788,45.5318,-122.652,Larceny Offenses
789,45.5561,-122.569,Larceny Offenses
790,45.5807,-122.66,Larceny Offenses
791,45.4683,-122.579,Larceny Offenses
792,45.519,-122.68,Larceny Offenses
793,45.5244,-122.538,Larceny Offenses
794,45.5183,-122.559,Larceny Offenses
795,45.5335,-122.56,Larceny Offenses
796,45.5316,-122.655,Larceny Offenses
797,45.5759,-122.566,Larceny Offenses
798,45.5338,-122.558,Larceny Offenses
799,45.5805,-122.718,Larceny Offenses
800,45.5676,-122.661,Larceny Offenses
801,45.5161,-122.685,Larceny Offenses
802,45.4903,-122.582,Larceny Offenses
803,45.5208,-122.548,Larceny Offenses
804,45.5122,-122.598,Larceny Offenses
805,45.5342,-122.69,Larceny Offenses
806,45.534,-122.704,Larceny Offenses
808,45.5822,-122.731,Larceny Offenses
809,45.5042,-122.511,Motor Vehicle Theft
810,45.5652,-122.656,Motor Vehicle Theft
811,45.4795,-122.524,Motor Vehicle Theft
812,45.4974,-122.53,Motor Vehicle Theft
813,45.5034,-122.573,Motor Vehicle Theft
814,45.5375,-122.662,Robbery
815,45.5358,-122.621,Robbery
816,45.4974,-122.53,Stolen Property Offenses
817,45.5561,-122.62,Vandalism
818,45.4671,-122.579,Vandalism
819,45.5215,-122.645,Vandalism
820,45.4507,-122.673,Vandalism
821,45.5207,-122.682,Vandalism
822,45.5437,-122.658,Vandalism
823,45.5254,-122.647,Vandalism
824,45.4703,-122.553,Vandalism
825,45.4965,-122.576,Vandalism
826,45.5201,-122.671,Vandalism
827,45.5585,-122.55,Vandalism
828,45.5009,-122.636,Vandalism
829,45.5081,-122.719,Vandalism
830,45.4979,-122.652,Drug/Narcotic Offenses
